date,generated_gas,generated_rooftop
2020-10-23 00:00,438.82,0.00
2020-10-23 00:30,417.52,0.00
2020-10-23 01:00,380.86,0.00
2020-10-23 01:30,397.27,0.00
2020-10-23 02:00,402.74,0.00
2020-10-23 02:30,387.04,0.00
2020-10-23 03:00,333.51,0.00
2020-10-23 03:30,284.37,0.00
2020-10-23 04:00,339.35,0.00
2020-10-23 04:30,381.08,0.00
2020-10-23 05:00,410.61,0.00
2020-10-23 05:30,358.16,12.63
2020-10-23 06:00,392.37,67.85
2020-10-23 06:30,382.35,162.56
2020-10-23 07:00,360.16,303.20
2020-10-23 07:30,331.71,449.83
2020-10-23 08:00,318.20,625.23
2020-10-23 08:30,358.75,761.38
2020-10-23 09:00,411.79,895.71
2020-10-23 09:30,426.06,993.17
2020-10-23 10:00,391.66,1062.44
2020-10-23 10:30,360.66,1115.56
2020-10-23 11:00,359.27,1098.62
2020-10-23 11:30,368.71,1090.40
2020-10-23 12:00,355.97,1060.51
2020-10-23 12:30,320.86,1039.42
2020-10-23 13:00,348.51,1048.58
2020-10-23 13:30,357.98,1011.79
2020-10-23 14:00,412.03,1004.45
2020-10-23 14:30,394.91,961.62
2020-10-23 15:00,447.15,884.96
2020-10-23 15:30,448.95,785.37
2020-10-23 16:00,459.18,633.32
2020-10-23 16:30,519.67,476.98
2020-10-23 17:00,574.75,315.89
2020-10-23 17:30,583.69,174.16
2020-10-23 18:00,626.18,64.88
2020-10-23 18:30,668.09,13.74
2020-10-23 19:00,670.43,2.54
2020-10-23 19:30,617.69,2.71
2020-10-23 20:00,579.71,0.00
2020-10-23 20:30,587.37,0.00
2020-10-23 21:00,607.83,0.00
2020-10-23 21:30,525.34,0.00
2020-10-23 22:00,512.23,0.00
2020-10-23 22:30,459.11,0.00
2020-10-23 23:00,444.08,0.00
2020-10-23 23:30,470.64,0.00
2020-10-24 00:00,450.30,0.00
